id,Personality
18524,0
18525,1
18526,0
18527,0
18528,1
18529,0
18530,0
18531,1
18532,0
18533,1
18534,0
18535,0
18536,1
18537,0
18538,1
18539,0
18540,0
18541,0
18542,0
18543,0
18544,1
18545,1
18546,0
18547,1
18548,0
18549,0
18550,0
18551,0
18552,1
18553,1
18554,0
18555,0
18556,1
18557,0
18558,0
18559,0
18560,0
18561,0
18562,0
18563,0
18564,1
18565,1
18566,1
18567,1
18568,0
18569,0
18570,0
18571,1
18572,0
18573,0
18574,1
18575,0
18576,0
18577,0
18578,0
18579,0
18580,0
18581,0
18582,1
18583,0
18584,0
18585,0
18586,0
18587,0
18588,0
18589,0
18590,0
18591,1
18592,0
18593,0
18594,1
18595,1
18596,0
18597,0
18598,0
18599,0
18600,0
18601,0
18602,0
18603,0
18604,0
18605,0
18606,0
18607,0
18608,0
18609,0
18610,0
18611,1
18612,0
18613,0
18614,0
18615,1
18616,0
18617,0
18618,0
18619,0
18620,0
18621,0
18622,0
18623,1
18624,0
18625,0
18626,0
18627,0
18628,1
18629,0
18630,0
18631,0
18632,0
18633,1
18634,0
18635,0
18636,1
18637,1
18638,0
18639,0
18640,0
18641,0
18642,0
18643,1
18644,0
18645,1
18646,0
18647,0
18648,0
18649,1
18650,0
18651,0
18652,0
18653,0
18654,0
18655,0
18656,0
18657,0
18658,0
18659,0
18660,0
18661,0
18662,0
18663,1
18664,0
18665,0
18666,0
18667,0
18668,0
18669,0
18670,1
18671,0
18672,1
18673,1
18674,0
18675,0
18676,0
18677,0
18678,0
18679,0
18680,0
18681,1
18682,0
18683,0
18684,0
18685,1
18686,0
18687,0
18688,1
18689,0
18690,0
18691,0
18692,0
18693,1
18694,0
18695,0
18696,1
18697,1
18698,1
18699,1
18700,0
18701,1
18702,0
18703,0
18704,0
18705,1
18706,0
18707,1
18708,0
18709,0
18710,0
18711,1
18712,0
18713,0
18714,0
18715,0
18716,0
18717,0
18718,1
18719,1
18720,1
18721,0
18722,0
18723,0
18724,1
18725,1
18726,0
18727,0
18728,0
18729,1
18730,0
18731,0
18732,0
18733,0
18734,1
18735,0
18736,0
18737,0
18738,1
18739,0
18740,0
18741,0
18742,0
18743,0
18744,0
18745,1
18746,0
18747,1
18748,0
18749,0
18750,0
18751,0
18752,0
18753,0
18754,0
18755,1
18756,0
18757,0
18758,1
18759,0
18760,0
18761,0
18762,0
18763,0
18764,0
18765,1
18766,1
18767,0
18768,0
18769,1
18770,0
18771,0
18772,0
18773,0
18774,0
18775,0
18776,0
18777,1
18778,0
18779,0
18780,0
18781,0
18782,0
18783,0
18784,0
18785,0
18786,0
18787,1
18788,0
18789,0
18790,1
18791,0
18792,0
18793,0
18794,0
18795,0
18796,0
18797,0
18798,0
18799,1
18800,0
18801,1
18802,0
18803,0
18804,1
18805,0
18806,0
18807,0
18808,0
18809,0
18810,0
18811,0
18812,0
18813,0
18814,0
18815,0
18816,1
18817,0
18818,0
18819,0
18820,0
18821,0
18822,1
18823,0
18824,0
18825,0
18826,0
18827,0
18828,0
18829,0
18830,0
18831,1
18832,0
18833,0
18834,0
18835,1
18836,0
18837,0
18838,0
18839,0
18840,1
18841,0
18842,1
18843,0
18844,0
18845,1
18846,0
18847,0
18848,0
18849,0
18850,1
18851,0
18852,0
18853,0
18854,0
18855,0
18856,0
18857,1
18858,0
18859,0
18860,0
18861,0
18862,0
18863,0
18864,1
18865,0
18866,0
18867,0
18868,0
18869,0
18870,0
18871,0
18872,1
18873,0
18874,1
18875,0
18876,0
18877,0
18878,0
18879,1
18880,0
18881,0
18882,0
18883,1
18884,0
18885,0
18886,0
18887,0
18888,0
18889,0
18890,1
18891,0
18892,0
18893,0
18894,0
18895,0
18896,0
18897,0
18898,0
18899,0
18900,0
18901,0
18902,1
18903,0
18904,1
18905,0
18906,1
18907,0
18908,1
18909,1
18910,0
18911,1
18912,0
18913,0
18914,0
18915,0
18916,0
18917,0
18918,0
18919,1
18920,0
18921,1
18922,0
18923,1
18924,0
18925,1
18926,1
18927,1
18928,1
18929,0
18930,0
18931,0
18932,1
18933,1
18934,0
18935,0
